time,wx (rad/s),wy (rad/s),wz (rad/s)
14.755,-2.57,-5.38,6.72
14.757,-2.45,-5.38,6.67
14.759,-2.37,-5.33,6.62
14.761,-2.34,-5.23,6.58
14.773,-2.34,-5.10,6.54
14.774,-2.38,-4.95,6.51
14.774,-2.47,-4.78,6.48
14.774,-2.60,-4.59,6.45
14.774,-2.77,-4.41,6.42
14.775,-2.97,-4.21,6.40
14.776,-3.19,-4.00,6.38
14.777,-3.44,-3.78,6.36
14.779,-3.69,-3.55,6.34
14.782,-3.96,-3.32,6.32
14.783,-4.22,-3.09,6.30
14.788,-4.50,-2.86,6.27
14.789,-4.76,-2.64,6.24
14.789,-5.01,-2.43,6.19
14.792,-5.25,-2.24,6.15
14.794,-5.48,-2.06,6.09
14.795,-5.69,-1.91,6.02
14.799,-5.87,-1.77,5.96
14.800,-6.03,-1.66,5.89
14.802,-6.17,-1.57,5.81
14.804,-6.29,-1.48,5.75
14.805,-6.38,-1.41,5.69
14.808,-6.46,-1.36,5.62
14.809,-6.52,-1.32,5.55
14.811,-6.57,-1.30,5.48
14.815,-6.60,-1.30,5.40
14.816,-6.61,-1.31,5.31
14.817,-6.61,-1.32,5.22
14.820,-6.59,-1.34,5.11
14.821,-6.56,-1.36,5.00
14.824,-6.52,-1.37,4.86
14.826,-6.49,-1.38,4.73
14.829,-6.44,-1.40,4.58
14.830,-6.40,-1.40,4.43
14.832,-6.37,-1.41,4.28
14.834,-6.34,-1.41,4.12
14.835,-6.32,-1.41,3.96
14.837,-6.31,-1.41,3.80
14.840,-6.32,-1.41,3.63
14.843,-6.33,-1.42,3.47
14.843,-6.34,-1.43,3.29
14.845,-6.38,-1.44,3.11
14.849,-6.42,-1.45,2.93
14.850,-6.46,-1.48,2.75
14.851,-6.50,-1.52,2.58
14.854,-6.54,-1.57,2.40
14.855,-6.56,-1.62,2.24
14.859,-6.58,-1.68,2.09
14.859,-6.58,-1.75,1.94
14.862,-6.57,-1.84,1.80
14.865,-6.54,-1.93,1.66
14.865,-6.48,-2.05,1.54
14.867,-6.41,-2.18,1.42
14.870,-6.31,-2.34,1.32
14.871,-6.19,-2.50,1.22
14.874,-6.04,-2.67,1.14
14.876,-5.87,-2.85,1.06
14.877,-5.69,-3.04,1.00
14.882,-5.49,-3.23,0.94
14.883,-5.27,-3.42,0.90
14.884,-5.05,-3.60,0.88
14.893,-4.82,-3.77,0.88
14.894,-4.58,-3.94,0.89
14.894,-4.33,-4.09,0.93
14.894,-4.09,-4.21,0.97
14.894,-3.86,-4.32,1.03
14.895,-3.64,-4.43,1.10
14.909,-3.42,-4.51,1.19
14.909,-3.22,-4.58,1.28
14.909,-3.03,-4.63,1.38
14.909,-2.85,-4.68,1.50
14.910,-2.70,-4.70,1.61
14.910,-2.56,-4.71,1.73
14.910,-2.44,-4.73,1.85
14.912,-2.34,-4.73,1.98
14.914,-2.24,-4.73,2.11
14.917,-2.17,-4.74,2.24
14.918,-2.11,-4.74,2.37
14.920,-2.05,-4.75,2.48
14.922,-2.00,-4.76,2.59
14.924,-1.97,-4.75,2.68
14.926,-1.93,-4.74,2.76
14.928,-1.90,-4.71,2.81
14.930,-1.87,-4.69,2.86
14.932,-1.86,-4.63,2.89
14.934,-1.84,-4.56,2.91
14.936,-1.82,-4.47,2.90
14.938,-1.82,-4.35,2.88
14.940,-1.81,-4.18,2.84
14.942,-1.81,-3.98,2.76
14.945,-1.81,-3.75,2.66
14.945,-1.83,-3.48,2.52
14.948,-1.85,-3.18,2.35
14.950,-1.88,-2.87,2.16
14.952,-1.90,-2.52,1.95
14.954,-1.93,-2.15,1.70
14.956,-1.95,-1.76,1.45
14.957,-1.96,-1.36,1.17
14.960,-1.95,-0.95,0.88
14.961,-1.91,-0.55,0.58
14.965,-1.85,-0.17,0.27
14.969,-1.76,0.19,-0.04
14.969,-1.60,0.50,-0.36
14.970,-1.41,0.80,-0.68
14.972,-1.18,1.06,-1.00
14.974,-0.90,1.29,-1.32
14.986,-0.59,1.48,-1.65
14.986,-0.24,1.65,-1.96
14.986,0.13,1.79,-2.26
14.986,0.51,1.90,-2.55
14.996,0.93,1.99,-2.83
14.996,1.35,2.07,-3.09
14.996,1.78,2.12,-3.34
14.996,2.21,2.17,-3.58
14.997,2.64,2.21,-3.81
14.997,3.05,2.26,-4.02
15.001,3.44,2.29,-4.22
15.001,3.81,2.34,-4.41
15.001,4.16,2.40,-4.58
15.002,4.48,2.47,-4.75
15.004,4.77,2.54,-4.90
15.006,5.03,2.61,-5.05
15.008,5.25,2.68,-5.18
15.011,5.45,2.76,-5.32
15.012,5.61,2.82,-5.44
15.022,5.74,2.88,-5.57
15.022,5.85,2.91,-5.68
15.022,5.92,2.94,-5.78
15.022,5.97,2.97,-5.88
15.022,6.00,2.99,-5.96
15.024,6.00,3.01,-6.03
15.026,5.98,3.01,-6.10
15.028,5.95,3.02,-6.16
15.030,5.90,3.02,-6.21
15.032,5.84,3.02,-6.26
15.034,5.76,3.01,-6.31
15.036,5.68,2.99,-6.34
15.038,5.59,2.97,-6.38
15.040,5.49,2.96,-6.41
15.042,5.38,2.94,-6.44
15.044,5.27,2.92,-6.46
15.046,5.15,2.90,-6.49
15.049,5.03,2.89,-6.51
15.050,4.92,2.88,-6.52
15.052,4.80,2.89,-6.53
15.054,4.68,2.89,-6.53
15.056,4.56,2.89,-6.53
15.058,4.45,2.91,-6.53
15.060,4.34,2.92,-6.52
15.062,4.23,2.94,-6.52
15.064,4.14,2.96,-6.51
15.066,4.05,2.99,-6.50
15.068,3.97,3.01,-6.49
15.070,3.90,3.04,-6.49
15.073,3.83,3.08,-6.49
15.075,3.78,3.12,-6.49
15.076,3.73,3.16,-6.50
15.079,3.69,3.20,-6.51
15.081,3.65,3.24,-6.53
15.085,3.63,3.29,-6.55
15.086,3.61,3.33,-6.58
15.087,3.60,3.37,-6.61
15.089,3.59,3.41,-6.65
15.090,3.59,3.45,-6.69
15.093,3.58,3.48,-6.75
15.094,3.59,3.50,-6.81
15.097,3.60,3.52,-6.88
15.100,3.61,3.52,-6.96
15.101,3.63,3.51,-7.03
15.103,3.66,3.50,-7.12
15.104,3.69,3.48,-7.22
15.107,3.73,3.45,-7.31
15.109,3.77,3.41,-7.41
15.112,3.82,3.36,-7.52
15.113,3.88,3.31,-7.63
15.119,3.94,3.25,-7.75
15.129,4.01,3.20,-7.86
15.130,4.08,3.14,-7.97
15.130,4.15,3.07,-8.09
15.130,4.24,3.00,-8.20
15.130,4.33,2.93,-8.31
15.130,4.41,2.86,-8.42
15.130,4.49,2.79,-8.53
15.131,4.58,2.73,-8.63
15.146,4.66,2.66,-8.73
15.147,4.74,2.60,-8.84
15.147,4.81,2.54,-8.93
15.147,4.86,2.47,-9.01
15.148,4.92,2.40,-9.10
15.148,4.98,2.34,-9.17
15.148,5.02,2.28,-9.25
15.148,5.05,2.22,-9.31
15.149,5.07,2.17,-9.37
15.152,5.08,2.13,-9.43
15.153,5.08,2.09,-9.48
15.154,5.08,2.06,-9.52
15.157,5.05,2.03,-9.56
15.158,5.03,2.00,-9.59
15.161,5.00,1.97,-9.61
15.163,4.96,1.94,-9.62
15.165,4.91,1.93,-9.63
15.167,4.86,1.92,-9.62
15.171,4.81,1.91,-9.61
15.172,4.76,1.92,-9.58
15.173,4.73,1.97,-9.54
15.175,4.69,1.98,-9.50
15.177,4.64,1.95,-9.47
15.178,4.57,1.95,-9.44
15.182,4.48,1.93,-9.38
15.185,4.39,1.92,-9.33
15.186,4.28,1.88,-9.27
15.188,4.16,1.84,-9.21
15.189,4.02,1.81,-9.15
15.190,3.88,1.77,-9.08
15.193,3.74,1.75,-9.02
15.195,3.60,1.73,-8.95
15.198,3.46,1.72,-8.88
15.200,3.31,1.71,-8.82
15.201,3.18,1.71,-8.75
15.203,3.06,1.71,-8.69
15.205,2.93,1.72,-8.63
15.208,2.81,1.74,-8.58
15.209,2.70,1.76,-8.53
15.212,2.58,1.78,-8.48
15.213,2.46,1.80,-8.44
15.216,2.34,1.80,-8.41
15.219,2.21,1.81,-8.39
15.219,2.09,1.81,-8.37
15.224,1.96,1.81,-8.35
15.224,1.84,1.80,-8.34
15.225,1.71,1.77,-8.34
15.227,1.59,1.73,-8.34
15.230,1.48,1.69,-8.33
15.235,1.38,1.66,-8.33
15.243,1.28,1.62,-8.32
15.243,1.19,1.60,-8.31
15.243,1.11,1.59,-8.29
15.244,1.03,1.58,-8.27
15.244,0.96,1.58,-8.24
15.244,0.91,1.58,-8.21
15.246,0.85,1.59,-8.19
15.247,0.81,1.60,-8.16
15.254,0.76,1.60,-8.15
15.255,0.72,1.60,-8.13
15.255,0.68,1.59,-8.12
15.256,0.65,1.57,-8.11
15.258,0.61,1.54,-8.09
15.259,0.58,1.51,-8.08
15.261,0.55,1.46,-8.07
15.264,0.53,1.41,-8.06
15.265,0.51,1.35,-8.04
15.268,0.50,1.29,-8.03
15.269,0.49,1.24,-8.02
15.271,0.49,1.18,-8.01
15.273,0.49,1.14,-8.00
15.275,0.50,1.09,-7.99
15.278,0.51,1.05,-7.99
15.280,0.53,1.02,-8.00
15.282,0.54,1.00,-8.00
15.284,0.56,0.98,-8.01
15.285,0.58,0.94,-8.03
15.289,0.59,0.91,-8.06
15.290,0.61,0.87,-8.09
15.292,0.62,0.83,-8.13
15.293,0.64,0.79,-8.18
15.296,0.65,0.75,-8.23
15.297,0.66,0.72,-8.29
15.301,0.67,0.69,-8.36
15.301,0.68,0.65,-8.42
15.303,0.69,0.61,-8.49
15.306,0.70,0.56,-8.55
15.307,0.71,0.52,-8.62
15.309,0.73,0.46,-8.67
15.312,0.74,0.40,-8.72
15.314,0.75,0.35,-8.76
15.316,0.76,0.30,-8.80
15.317,0.77,0.25,-8.82
15.319,0.78,0.20,-8.85
15.322,0.79,0.14,-8.87
15.323,0.80,0.08,-8.89
15.325,0.81,-0.01,-8.90
15.328,0.82,-0.10,-8.91
15.329,0.83,-0.21,-8.90
15.333,0.84,-0.31,-8.90
15.336,0.85,-0.43,-8.90
15.336,0.87,-0.54,-8.90
15.337,0.88,-0.66,-8.89
15.340,0.89,-0.78,-8.88
15.341,0.90,-0.89,-8.87
15.343,0.91,-0.99,-8.85
15.347,0.91,-1.10,-8.85
15.348,0.91,-1.20,-8.83
15.350,0.91,-1.30,-8.81
15.353,0.91,-1.40,-8.80
15.353,0.91,-1.49,-8.77
15.355,0.91,-1.59,-8.75
15.359,0.91,-1.68,-8.73
15.360,0.91,-1.77,-8.70
15.361,0.92,-1.86,-8.68
15.364,0.92,-1.93,-8.65
15.369,0.93,-2.00,-8.61
15.370,0.94,-2.06,-8.58
15.370,0.95,-2.10,-8.54
15.381,0.95,-2.14,-8.48
15.382,0.96,-2.16,-8.42
15.382,0.95,-2.18,-8.34
15.382,0.95,-2.19,-8.26
15.382,0.93,-2.19,-8.18
15.382,0.90,-2.18,-8.09
15.390,0.87,-2.14,-8.00
15.391,0.82,-2.09,-7.91
15.391,0.76,-2.02,-7.81
15.391,0.68,-1.94,-7.72
15.391,0.59,-1.84,-7.63
15.394,0.48,-1.73,-7.54
15.396,0.37,-1.60,-7.45
15.397,0.24,-1.47,-7.37
15.400,0.09,-1.34,-7.29
15.401,-0.07,-1.21,-7.21
15.405,-0.24,-1.09,-7.14
15.405,-0.44,-0.97,-7.07
15.408,-0.65,-0.87,-6.99
15.409,-0.88,-0.78,-6.92
15.412,-1.13,-0.70,-6.83
15.414,-1.39,-0.63,-6.75
15.416,-1.65,-0.57,-6.64
15.419,-1.90,-0.53,-6.53
15.420,-2.16,-0.48,-6.40
15.422,-2.40,-0.45,-6.27
15.424,-2.62,-0.42,-6.12
15.426,-2.82,-0.40,-5.97
15.428,-3.00,-0.37,-5.82
15.430,-3.15,-0.34,-5.65
15.437,-3.27,-0.31,-5.47
15.437,-3.37,-0.29,-5.27
15.437,-3.43,-0.26,-5.07
15.440,-3.47,-0.24,-4.86
15.440,-3.47,-0.22,-4.64
15.442,-3.45,-0.20,-4.42
15.443,-3.41,-0.20,-4.19
15.446,-3.33,-0.21,-3.95
15.447,-3.23,-0.25,-3.69
15.452,-3.09,-0.29,-3.40
15.453,-2.91,-0.33,-3.09
15.463,-2.69,-0.38,-2.76
15.464,-2.43,-0.41,-2.41
15.464,-2.12,-0.44,-2.04
15.464,-1.78,-0.45,-1.64
15.464,-1.40,-0.45,-1.23
15.464,-1.00,-0.45,-0.80
15.475,-0.58,-0.44,-0.36
15.475,-0.15,-0.41,0.10
15.475,0.27,-0.38,0.56
15.475,0.70,-0.34,1.03
15.476,1.12,-0.28,1.51
15.476,1.52,-0.20,1.99
15.479,1.91,-0.10,2.47
15.480,2.27,0.01,2.95
15.483,2.61,0.15,3.44
15.484,2.92,0.30,3.92
15.486,3.20,0.47,4.41
15.488,3.45,0.66,4.89
15.490,3.66,0.87,5.36
15.492,3.85,1.08,5.82
15.495,3.99,1.30,6.29
15.496,4.09,1.52,6.74
15.498,4.16,1.75,7.19
15.500,4.20,2.00,7.63
15.502,4.22,2.25,8.06
15.505,4.22,2.52,8.48
15.506,4.20,2.79,8.88
15.508,4.15,3.05,9.28
15.510,4.08,3.29,9.66
15.513,3.98,3.51,10.01
15.515,3.86,3.71,10.37
15.517,3.71,3.89,10.70
15.518,3.54,4.04,11.01
15.521,3.35,4.17,11.30
15.523,3.13,4.26,11.58
15.525,2.90,4.34,11.83
15.527,2.65,4.40,12.06
15.529,2.38,4.45,12.27
15.536,2.09,4.48,12.46
15.536,1.80,4.48,12.63
15.536,1.48,4.47,12.79
15.537,1.16,4.44,12.92
15.539,0.84,4.39,13.05
15.557,0.50,4.33,13.17
15.558,0.17,4.25,13.27
15.558,-0.18,4.16,13.37
15.559,-0.51,4.07,13.46
15.559,-0.84,3.96,13.56
15.559,-1.16,3.84,13.65
15.559,-1.47,3.73,13.75
15.559,-1.77,3.61,13.84
15.559,-2.05,3.50,13.95
15.571,-2.32,3.36,14.09
15.575,-2.58,3.19,14.24
15.576,-2.82,3.00,14.39
15.604,-3.05,2.81,14.54
15.604,-3.24,2.64,14.69
15.604,-3.39,2.48,14.83
15.605,-3.52,2.32,14.96
15.605,-3.61,2.17,15.06
15.605,-3.68,2.02,15.14
15.605,-3.73,1.87,15.19
15.605,-3.77,1.72,15.24
15.606,-3.79,1.58,15.27
15.606,-3.80,1.43,15.29
15.606,-3.81,1.30,15.31
15.606,-3.81,1.16,15.33
15.606,-3.80,1.04,15.34
15.607,-3.80,0.92,15.36
15.607,-3.78,0.80,15.39
15.607,-3.77,0.68,15.44
15.607,-3.75,0.56,15.48
15.607,-3.73,0.43,15.55
15.607,-3.72,0.31,15.62
15.607,-3.70,0.20,15.69
15.608,-3.69,0.10,15.77
15.608,-3.68,0.03,15.83
15.610,-3.70,-0.01,15.87
15.611,-3.73,-0.02,15.90
15.623,-3.78,-0.01,15.89
15.623,-3.86,0.02,15.86
15.623,-3.98,0.07,15.80
15.624,-4.13,0.15,15.72
15.624,-4.31,0.24,15.61
15.624,-4.52,0.36,15.47
15.624,-4.77,0.49,15.30
15.628,-5.06,0.64,15.11
15.629,-5.39,0.79,14.87
15.631,-5.76,0.95,14.61
15.632,-6.17,1.10,14.32
15.634,-6.61,1.25,14.00
15.636,-7.07,1.37,13.67
15.638,-7.54,1.48,13.31
15.640,-8.02,1.57,12.95
15.642,-8.49,1.62,12.59
15.644,-8.94,1.65,12.24
15.647,-9.31,1.65,11.90
15.648,-9.67,1.61,11.57
15.650,-9.97,1.56,11.26
15.652,-10.22,1.49,10.96
15.654,-10.41,1.41,10.66
15.656,-10.53,1.30,10.38
15.658,-10.60,1.17,10.11
15.660,-10.60,1.02,9.88
15.663,-10.55,0.84,9.66
15.665,-10.44,0.64,9.47
15.667,-10.27,0.41,9.30
15.669,-10.06,0.16,9.14
15.670,-9.81,-0.10,9.00
15.672,-9.52,-0.38,8.87
15.674,-9.19,-0.68,8.75
15.677,-8.83,-1.00,8.64
15.678,-8.45,-1.34,8.56
15.680,-8.04,-1.69,8.48
15.682,-7.62,-2.05,8.41
15.685,-7.19,-2.41,8.36
15.687,-6.77,-2.78,8.30
15.689,-6.34,-3.15,8.26
15.690,-5.91,-3.50,8.22
15.693,-5.50,-3.83,8.17
15.695,-5.12,-4.12,8.12
15.697,-4.78,-4.36,8.07
15.699,-4.47,-4.56,8.02
15.700,-4.19,-4.72,7.96
15.703,-3.94,-4.85,7.90
15.705,-3.72,-4.95,7.84
15.708,-3.52,-5.03,7.77
15.709,-3.35,-5.08,7.70
15.711,-3.19,-5.10,7.63
15.713,-3.04,-5.10,7.55
15.715,-2.92,-5.06,7.46
15.717,-2.82,-5.01,7.37
15.719,-2.72,-4.93,7.28
15.721,-2.64,-4.85,7.19
15.723,-2.56,-4.76,7.10
15.725,-2.49,-4.67,7.00
15.727,-2.44,-4.59,6.90
15.730,-2.39,-4.51,6.80
15.731,-2.33,-4.45,6.70
15.733,-2.28,-4.40,6.60
15.735,-2.23,-4.38,6.51
15.737,-2.17,-4.38,6.43
15.739,-2.11,-4.39,6.36
15.741,-2.04,-4.41,6.30
15.744,-1.97,-4.43,6.25
15.745,-1.88,-4.46,6.22
15.747,-1.80,-4.49,6.18
15.749,-1.71,-4.53,6.16
15.751,-1.63,-4.56,6.14
15.754,-1.55,-4.59,6.14
15.755,-1.48,-4.62,6.13
15.758,-1.42,-4.65,6.14
15.759,-1.35,-4.68,6.16
15.761,-1.30,-4.69,6.18
15.764,-1.25,-4.68,6.19
15.765,-1.21,-4.65,6.22
15.767,-1.18,-4.58,6.23
15.770,-1.17,-4.49,6.25
15.771,-1.19,-4.36,6.26
15.775,-1.24,-4.23,6.26
15.775,-1.30,-4.09,6.27
15.777,-1.40,-3.94,6.26
15.781,-1.52,-3.78,6.23
15.781,-1.67,-3.62,6.20
15.784,-1.84,-3.45,6.15
15.785,-2.03,-3.28,6.08
15.787,-2.22,-3.09,6.00
15.789,-2.42,-2.90,5.92
15.792,-2.62,-2.70,5.82
15.793,-2.81,-2.51,5.72
15.795,-3.00,-2.31,5.61
15.797,-3.17,-2.11,5.51
15.799,-3.33,-1.93,5.41
15.801,-3.48,-1.76,5.31
15.804,-3.60,-1.61,5.22
15.805,-3.70,-1.48,5.14
15.808,-3.77,-1.39,5.05
15.810,-3.81,-1.33,4.96
15.811,-3.81,-1.30,4.88
15.813,-3.79,-1.28,4.80
15.815,-3.73,-1.29,4.71
15.818,-3.64,-1.31,4.65
15.819,-3.52,-1.36,4.59
15.822,-3.38,-1.43,4.53
15.823,-3.22,-1.52,4.50
15.825,-3.04,-1.60,4.47
15.827,-2.85,-1.70,4.46
15.829,-2.67,-1.80,4.46
15.833,-2.48,-1.90,4.48
15.834,-2.29,-2.01,4.52
15.836,-2.12,-2.12,4.56
15.837,-1.96,-2.25,4.62
15.839,-1.80,-2.39,4.68
15.842,-1.67,-2.54,4.74
15.844,-1.55,-2.70,4.80
15.845,-1.44,-2.88,4.85
15.847,-1.34,-3.05,4.90
15.850,-1.25,-3.21,4.95
15.851,-1.18,-3.36,4.98
15.854,-1.12,-3.51,5.01
15.855,-1.06,-3.63,5.03
15.858,-1.03,-3.74,5.05
15.859,-1.02,-3.84,5.06
15.862,-1.03,-3.92,5.05
15.864,-1.06,-3.98,5.04
15.866,-1.11,-4.03,5.01
15.867,-1.19,-4.04,4.96
15.869,-1.29,-4.01,4.89
15.872,-1.42,-3.95,4.80
15.874,-1.56,-3.83,4.69
15.876,-1.73,-3.67,4.58
15.877,-1.93,-3.42,4.44
15.880,-2.15,-3.14,4.30
15.882,-2.38,-2.85,4.12
15.884,-2.63,-2.49,3.94
15.886,-2.98,-1.90,3.78
15.888,-3.38,-1.25,3.63
15.890,-3.78,-0.59,3.48
15.892,-4.16,0.11,3.32
15.894,-4.50,0.80,3.11
15.896,-4.75,1.45,2.81
15.898,-4.90,1.99,2.40
15.900,-4.91,2.43,1.91
15.902,-4.78,2.73,1.35
15.904,-4.53,2.94,0.78
15.906,-4.22,3.06,0.25
15.908,-3.84,3.13,-0.22
15.910,-3.43,3.13,-0.65
15.912,-3.00,3.07,-1.03
15.914,-2.53,2.97,-1.38
15.916,-2.04,2.86,-1.72
15.918,-1.53,2.73,-2.05
15.921,-0.99,2.60,-2.37
15.922,-0.41,2.45,-2.69
15.925,0.16,2.30,-3.00
15.926,0.74,2.16,-3.30
15.928,1.32,2.04,-3.60
15.932,1.89,1.91,-3.88
15.934,2.43,1.80,-4.16
15.935,2.94,1.71,-4.43
15.936,3.41,1.62,-4.70
15.939,3.83,1.53,-4.96
15.940,4.21,1.45,-5.22
15.948,4.55,1.38,-5.47
15.948,4.85,1.32,-5.72
15.949,5.11,1.28,-5.98
15.949,5.34,1.25,-6.23
15.950,5.54,1.23,-6.48
15.952,5.71,1.20,-6.72
15.954,5.84,1.16,-6.95
15.956,5.95,1.09,-7.17
15.960,6.03,1.02,-7.38
15.960,6.07,0.93,-7.56
15.963,6.08,0.83,-7.72
15.971,6.08,0.73,-7.87
15.972,6.05,0.62,-8.00
15.972,6.01,0.52,-8.12
15.972,5.95,0.43,-8.22
15.973,5.88,0.35,-8.31
15.974,5.79,0.28,-8.39
15.976,5.70,0.23,-8.46
15.978,5.60,0.19,-8.51
15.981,5.49,0.16,-8.55
15.982,5.37,0.15,-8.58
15.985,5.25,0.14,-8.60
15.986,5.12,0.14,-8.60
15.988,4.99,0.14,-8.60
15.990,4.85,0.16,-8.58
15.992,4.71,0.17,-8.55
15.994,4.56,0.19,-8.51
15.996,4.40,0.21,-8.47
15.998,4.25,0.24,-8.42
16.000,4.09,0.28,-8.36
16.002,3.93,0.32,-8.30
16.004,3.77,0.37,-8.24
16.006,3.61,0.42,-8.17
16.009,3.44,0.49,-8.10
16.010,3.28,0.56,-8.01
16.012,3.12,0.64,-7.94
16.015,2.95,0.73,-7.86
16.016,2.79,0.83,-7.79
16.021,2.63,0.93,-7.70
16.021,2.47,1.04,-7.62
16.022,2.32,1.15,-7.54
16.025,2.17,1.26,-7.46
16.029,2.03,1.39,-7.39
16.029,1.89,1.52,-7.31
16.030,1.76,1.66,-7.24
16.032,1.65,1.80,-7.17
16.034,1.54,1.94,-7.09
16.036,1.45,2.09,-7.03
16.047,1.37,2.22,-6.96
16.047,1.30,2.36,-6.90
16.047,1.25,2.49,-6.84
16.047,1.21,2.61,-6.79
16.047,1.19,2.72,-6.74
16.049,1.18,2.81,-6.70
16.051,1.19,2.90,-6.67
16.052,1.21,2.97,-6.65
16.058,1.25,3.03,-6.64
16.059,1.30,3.07,-6.64
16.059,1.36,3.10,-6.65
16.061,1.43,3.11,-6.68
16.063,1.51,3.11,-6.71
16.065,1.61,3.10,-6.75
16.066,1.72,3.08,-6.80
16.068,1.83,3.03,-6.86
16.070,1.97,2.98,-6.92
16.072,2.10,2.92,-7.00
16.074,2.25,2.85,-7.08
16.076,2.41,2.78,-7.17
16.078,2.58,2.71,-7.26
16.080,2.75,2.62,-7.36
16.082,2.91,2.53,-7.46
16.084,3.08,2.44,-7.57
16.086,3.24,2.35,-7.68
16.088,3.40,2.25,-7.80
16.090,3.54,2.15,-7.92
16.092,3.67,2.04,-8.05
16.095,3.80,1.94,-8.16
16.096,3.91,1.82,-8.29
16.099,4.02,1.71,-8.41
16.100,4.12,1.60,-8.52
16.102,4.22,1.49,-8.63
16.104,4.32,1.39,-8.74
16.106,4.41,1.28,-8.83
16.109,4.50,1.19,-8.92
16.110,4.58,1.09,-9.00
16.113,4.66,1.00,-9.09
16.116,4.73,0.92,-9.15
16.116,4.78,0.86,-9.23
16.120,4.83,0.80,-9.29
16.121,4.87,0.74,-9.34
16.122,4.89,0.70,-9.40
16.124,4.90,0.66,-9.46
16.130,4.91,0.63,-9.50
16.131,4.90,0.60,-9.55
16.131,4.88,0.57,-9.59
16.132,4.86,0.56,-9.62
16.136,4.82,0.55,-9.66
16.137,4.78,0.54,-9.68
16.138,4.73,0.53,-9.70
16.141,4.67,0.52,-9.72
16.142,4.60,0.51,-9.73
16.144,4.52,0.49,-9.74
16.149,4.43,0.47,-9.75
16.149,4.34,0.45,-9.76
16.151,4.24,0.41,-9.76
16.152,4.13,0.38,-9.77
16.154,4.02,0.34,-9.77
16.156,3.90,0.29,-9.77
16.159,3.78,0.25,-9.77
16.160,3.66,0.20,-9.77
16.163,3.52,0.14,-9.76
16.165,3.39,0.08,-9.76
16.167,3.26,0.02,-9.76
16.169,3.12,-0.04,-9.76
16.171,2.97,-0.11,-9.76
16.173,2.83,-0.18,-9.76
16.174,2.69,-0.24,-9.76
16.177,2.53,-0.29,-9.76
16.179,2.39,-0.34,-9.75
16.181,2.24,-0.38,-9.75
16.183,2.09,-0.42,-9.73
16.185,1.95,-0.45,-9.71
16.188,1.81,-0.46,-9.69
16.189,1.68,-0.47,-9.66
16.192,1.55,-0.48,-9.64
16.193,1.41,-0.48,-9.61
16.194,1.29,-0.49,-9.57
16.197,1.18,-0.49,-9.54
16.199,1.07,-0.50,-9.50
16.201,0.96,-0.50,-9.48
16.203,0.86,-0.50,-9.46
16.205,0.78,-0.50,-9.44
16.213,0.71,-0.50,-9.43
16.214,0.64,-0.49,-9.43
16.214,0.58,-0.47,-9.43
16.214,0.54,-0.45,-9.43
16.223,0.51,-0.43,-9.44
16.224,0.47,-0.40,-9.45
16.224,0.45,-0.38,-9.46
16.224,0.42,-0.36,-9.48
16.224,0.40,-0.35,-9.50
16.225,0.37,-0.34,-9.51
16.227,0.35,-0.32,-9.54
16.229,0.32,-0.31,-9.56
16.233,0.31,-0.30,-9.58
16.234,0.29,-0.29,-9.61
16.244,0.26,-0.28,-9.63
16.244,0.24,-0.27,-9.65
16.244,0.22,-0.24,-9.67
16.244,0.19,-0.21,-9.69
16.244,0.16,-0.18,-9.71
16.245,0.14,-0.15,-9.72
16.247,0.11,-0.11,-9.72
16.249,0.08,-0.08,-9.72
16.251,0.04,-0.06,-9.72
16.256,-0.00,-0.05,-9.71
16.256,-0.05,-0.04,-9.71
16.258,-0.09,-0.05,-9.69
16.259,-0.14,-0.07,-9.66
16.262,-0.19,-0.09,-9.65
16.263,-0.23,-0.11,-9.61
16.265,-0.28,-0.14,-9.58
16.267,-0.33,-0.16,-9.55
16.269,-0.37,-0.19,-9.51
16.271,-0.42,-0.22,-9.47
16.273,-0.45,-0.24,-9.43
16.275,-0.49,-0.28,-9.38
16.277,-0.53,-0.32,-9.32
16.279,-0.56,-0.37,-9.26
16.281,-0.59,-0.42,-9.19
16.283,-0.62,-0.48,-9.12
16.285,-0.63,-0.55,-9.04
16.287,-0.65,-0.60,-8.96
16.289,-0.67,-0.66,-8.88
16.291,-0.67,-0.73,-8.79
16.293,-0.68,-0.81,-8.70
16.295,-0.68,-0.89,-8.61
16.297,-0.68,-0.98,-8.53
16.299,-0.67,-1.08,-8.44
16.301,-0.66,-1.18,-8.35
16.303,-0.65,-1.29,-8.27
16.305,-0.63,-1.40,-8.19
16.307,-0.62,-1.52,-8.11
16.309,-0.59,-1.65,-8.03
16.311,-0.56,-1.78,-7.93
16.313,-0.54,-1.91,-7.85
16.315,-0.51,-2.05,-7.76
16.317,-0.48,-2.18,-7.66
16.319,-0.45,-2.30,-7.57
16.321,-0.42,-2.40,-7.48
16.323,-0.42,-2.48,-7.40
16.325,-0.40,-2.54,-7.33
16.327,-0.40,-2.57,-7.26
16.329,-0.41,-2.58,-7.19
16.331,-0.42,-2.56,-7.14
16.333,-0.44,-2.54,-7.08
16.335,-0.46,-2.49,-7.03
16.337,-0.50,-2.43,-6.98
16.339,-0.55,-2.36,-6.93
16.341,-0.60,-2.27,-6.89
16.344,-0.66,-2.17,-6.84
16.345,-0.74,-2.07,-6.80
16.347,-0.82,-1.95,-6.76
16.349,-0.92,-1.81,-6.72
